Year,Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season
2018,3,115.72,133.86,62.76,26.47,3.81,115.88,20.98,68.48,6.31,219.86,1014.29,19.16,10.46,232.2,Spring
2018,4,121.83,141.38,63.52,29.15,3.42,98.69,16.11,50.13,3.72,240.99,1022.52,26.75,7.75,132.0,Spring
2018,5,115.09,180.16,47.8,19.3,2.2,97.6,15.76,26.52,5.14,206.15,1010.9,24.41,9.31,166.4,Spring
2018,6,134.42,131.3,60.1,18.23,3.68,136.1,7.3,48.4,5.77,190.66,1021.62,28.98,6.65,215.5,Summer
2018,7,165.85,165.71,47.12,17.64,2.5,85.38,10.76,50.7,6.99,208.2,1016.8,15.18,8.54,196.0,Summer
2018,8,123.61,109.4,40.25,29.0,2.67,83.19,21.08,32.66,6.72,192.26,1023.43,38.97,8.92,311.4,Summer
2018,9,150.86,170.53,83.43,24.1,1.8,158.62,24.9,51.44,5.35,137.06,1003.8,38.63,9.88,52.25,Autumn
2018,10,118.47,98.28,61.35,33.99,2.62,77.88,26.24,51.28,5.57,105.76,1008.14,35.62,8.54,329.5,Autumn
2018,11,163.79,172.86,57.98,36.0,2.05,101.33,20.07,30.79,6.13,163.08,999.34,17.68,10.27,269.75,Autumn
2018,12,169.73,125.73,60.3,20.07,2.44,96.82,23.63,56.26,4.63,143.57,1020.14,23.81,10.94,275.25,Winter
2019,1,77.26,167.7,45.81,18.84,2.68,67.96,24.95,49.45,6.77,179.71,1011.26,23.96,10.67,347.83,Winter
2019,2,188.94,118.77,47.26,24.87,2.77,127.78,9.22,49.05,3.62,166.01,1028.72,18.57,12.82,303.2,Winter
2019,3,195.1,121.02,52.49,28.07,1.71,134.99,19.19,40.54,5.06,133.59,1026.69,25.8,13.59,241.0,Spring
2019,4,117.36,197.14,63.55,42.63,2.38,87.48,24.63,58.74,5.84,146.82,1006.1,27.2,8.8,186.5,Spring
2019,5,151.48,143.83,44.11,24.91,2.26,84.55,8.13,25.01,1.54,130.03,1022.09,29.36,10.72,291.0,Spring
2019,6,142.19,223.69,40.64,21.85,2.82,150.65,3.55,43.49,4.86,187.7,1016.62,29.53,10.61,217.71,Summer
2019,7,128.03,219.53,53.1,27.03,3.05,114.14,11.79,44.15,4.04,244.47,1025.87,17.74,10.42,142.29,Summer
2019,8,129.56,198.09,55.27,20.26,1.73,114.46,16.51,46.85,6.29,190.18,1020.17,19.81,11.54,185.14,Summer
2019,9,152.2,180.14,62.46,22.83,2.25,75.6,18.64,57.09,7.37,163.8,996.32,37.04,3.72,231.75,Autumn
2019,10,110.37,163.05,62.85,26.03,3.01,88.73,25.64,44.52,6.28,175.64,1016.78,32.69,11.36,293.5,Autumn
2019,11,164.65,158.62,53.58,22.56,2.78,115.35,13.27,59.66,5.77,154.61,1013.7,27.52,10.64,210.75,Autumn
2019,12,145.54,186.65,60.13,22.48,1.58,99.71,18.15,44.28,3.11,183.96,1014.79,22.78,6.09,183.14,Winter
2020,1,187.7,102.5,7.1,19.98,3.14,14.86,9.84,99.25,5.91,322.47,1012.08,16.82,12.62,387.0,Winter
2020,2,111.63,138.74,58.51,24.11,1.87,92.7,19.66,71.12,5.46,165.26,1019.96,17.2,8.4,284.5,Winter
2020,3,85.99,99.66,54.88,23.15,2.21,104.5,5.31,56.16,4.2,174.25,1022.71,14.22,5.49,90.83,Spring
2020,4,120.02,144.59,79.9,21.16,3.39,98.04,14.27,58.94,6.9,185.89,1020.3,29.09,7.07,177.2,Spring
2020,5,73.81,267.57,48.44,17.2,3.16,130.74,13.68,54.14,3.21,196.94,1023.46,38.53,15.08,311.75,Spring
2020,6,119.14,133.21,70.33,22.03,3.1,87.32,18.8,55.46,4.28,293.13,1013.82,19.4,7.34,229.5,Summer
2020,7,144.56,136.58,51.8,20.28,2.12,84.12,17.15,60.98,5.26,202.51,1021.3,23.5,11.09,273.43,Summer
2020,8,200.94,147.09,29.94,35.41,3.54,122.28,12.12,30.84,4.51,299.73,1044.87,16.48,9.89,422.5,Summer
2020,9,113.93,194.77,52.49,14.46,2.09,158.28,16.36,58.14,5.31,224.1,1020.54,13.6,8.85,224.8,Autumn
2020,10,148.3,133.59,56.47,25.27,2.73,88.37,13.51,49.44,8.45,166.59,1022.03,31.82,9.76,211.67,Autumn
2020,11,124.27,80.73,25.31,16.69,2.8,158.48,5.2,34.49,3.49,159.63,1020.2,27.19,7.23,226.6,Autumn
2020,12,147.4,173.18,34.66,19.01,2.14,118.99,2.94,55.26,6.0,132.26,1001.99,18.76,8.36,157.4,Winter
2021,1,103.18,145.78,54.43,25.82,2.33,139.09,9.18,58.28,4.14,152.86,1018.95,37.11,8.22,422.75,Winter
2021,2,131.36,101.98,37.63,22.96,2.54,103.68,2.87,71.17,7.09,170.01,1016.69,25.56,12.14,189.0,Winter
2021,3,131.37,192.87,47.81,6.02,2.18,83.07,19.61,54.81,5.53,165.67,1018.38,20.27,12.87,160.33,Spring
2021,4,193.36,196.18,55.6,17.05,2.82,117.43,15.98,63.58,6.67,159.18,1012.15,27.62,13.79,229.5,Spring
2021,5,64.53,134.96,34.24,26.49,2.79,114.6,18.54,44.71,4.39,213.91,1015.77,24.98,10.01,278.67,Spring
2021,6,125.14,93.07,45.79,17.88,2.59,108.54,11.61,60.39,5.28,177.64,1021.45,17.19,9.56,308.25,Summer
2021,7,135.85,121.47,55.51,26.94,3.5,107.87,23.1,43.32,6.52,201.21,1019.1,37.4,11.74,319.83,Summer
2021,8,190.26,185.47,28.03,25.72,3.47,69.14,7.26,12.77,2.86,164.38,1022.55,27.54,6.73,290.0,Summer
2021,9,81.13,140.69,50.33,30.53,3.16,101.59,15.08,67.81,5.52,177.03,1010.7,26.39,9.65,148.2,Autumn
2021,10,124.13,197.97,45.05,28.85,2.07,72.47,10.63,63.5,4.08,89.51,1005.44,28.45,9.09,244.2,Autumn
2021,11,132.29,188.15,73.89,30.85,1.78,117.59,6.59,51.6,4.17,236.22,1022.37,27.5,11.98,230.33,Autumn
2021,12,121.52,173.83,40.67,32.04,0.97,165.7,16.63,47.26,6.51,64.41,1010.72,22.55,10.96,130.0,Winter
2022,1,103.73,178.38,52.38,26.02,2.74,108.24,20.45,65.94,4.53,184.84,1022.91,38.44,9.37,301.33,Winter
2022,2,151.05,110.46,56.82,32.54,1.75,88.72,14.83,53.19,6.12,121.94,997.82,34.25,10.02,204.17,Winter
2022,3,146.91,129.38,34.47,29.66,2.29,72.61,25.43,44.91,5.65,150.53,1015.92,30.44,8.34,340.0,Spring
2022,4,134.56,146.89,40.2,38.07,3.14,147.15,13.38,51.23,6.71,220.62,1016.03,32.86,10.01,268.0,Spring
2022,5,133.58,169.49,48.81,24.73,3.15,100.84,7.16,49.87,5.22,189.86,1025.56,23.38,5.95,284.09,Spring
2022,6,122.54,187.28,56.7,26.83,2.82,58.59,21.16,73.06,3.34,167.82,1017.79,35.94,9.0,322.5,Summer
2022,7,140.66,160.17,38.11,15.23,2.25,113.85,12.24,53.97,7.89,136.36,1013.44,29.26,11.51,227.33,Summer
2022,8,93.07,148.09,26.81,26.01,3.16,17.56,17.26,84.55,3.05,170.25,1011.22,21.49,15.3,255.5,Summer
2022,9,150.0,112.48,64.91,14.15,2.88,40.7,17.87,55.98,5.58,171.34,1028.05,34.73,9.48,330.0,Autumn
2022,10,149.85,116.93,56.57,23.85,3.12,144.06,12.96,51.24,6.78,138.01,1007.64,28.4,10.34,190.71,Autumn
2022,11,134.92,138.29,62.34,20.58,2.11,97.41,5.49,43.41,5.39,198.96,1018.77,27.38,10.76,255.71,Autumn
2022,12,123.54,86.85,46.82,20.36,2.75,93.43,11.86,53.85,4.92,177.67,1008.66,34.74,10.42,270.0,Winter
2023,1,124.83,151.75,70.5,25.3,2.64,101.63,9.35,52.35,5.95,220.89,1012.82,30.09,11.92,278.11,Winter
2023,2,49.31,154.37,46.71,24.34,2.87,149.12,5.31,64.64,4.27,132.29,1006.26,6.96,12.15,256.0,Winter
2023,3,93.1,113.49,48.31,23.51,1.39,118.73,11.99,56.9,2.66,92.91,1023.27,22.27,6.02,251.0,Spring
2023,4,114.08,154.97,70.6,23.33,2.62,113.91,9.69,58.69,6.67,176.39,1008.96,33.54,9.79,232.6,Spring
2023,5,151.98,214.78,53.07,22.87,3.5,121.76,30.21,51.75,4.69,92.03,1010.87,30.07,6.75,358.0,Spring
2023,6,69.33,176.52,60.73,12.33,2.12,82.66,26.48,48.32,5.3,225.36,993.94,37.05,9.66,318.33,Summer
2023,7,123.84,169.12,40.05,26.32,2.22,40.52,33.74,36.66,7.88,148.05,1006.85,27.51,17.1,214.67,Summer
2023,8,126.1,190.12,36.96,13.43,2.25,146.92,14.53,67.5,6.62,198.67,1022.14,31.77,10.68,291.5,Summer
2023,9,119.48,181.19,64.67,20.59,1.13,136.36,17.84,50.33,5.03,186.2,1007.75,29.59,8.31,253.5,Autumn
2023,10,199.47,187.21,46.81,33.48,2.28,97.78,3.14,54.52,2.35,179.17,1018.11,16.77,9.53,135.33,Autumn
2023,11,130.89,157.32,40.68,28.53,2.83,84.93,9.12,62.94,4.86,126.59,1016.7,18.62,7.07,322.62,Autumn
2023,12,148.66,133.25,52.61,22.71,3.13,113.25,12.69,48.36,4.68,288.73,1025.13,15.84,7.39,272.6,Winter
2024,1,196.32,187.54,72.71,28.42,3.03,32.55,18.17,37.27,2.07,148.78,1011.59,23.61,7.23,330.67,Winter
2024,2,137.21,142.63,40.57,40.3,2.28,115.84,17.05,62.93,6.52,216.26,1013.87,23.68,10.06,306.0,Winter
2024,3,181.46,108.86,55.47,13.56,2.99,109.1,14.05,44.73,5.42,176.94,1019.59,26.64,9.54,225.8,Spring
2024,4,128.55,189.48,51.49,26.91,2.05,122.12,11.44,47.14,3.06,153.16,1019.71,28.34,11.44,260.12,Spring
2024,5,63.6,157.66,27.48,15.62,4.04,103.22,10.38,43.14,3.86,157.85,1012.72,24.93,10.55,181.75,Spring
2024,6,153.0,190.27,65.98,32.39,1.16,126.15,16.44,43.63,4.53,183.68,1014.86,27.92,6.56,220.4,Summer
2024,7,201.33,119.24,46.9,34.88,3.35,109.23,22.87,73.83,5.7,169.69,1015.3,34.5,8.44,408.5,Summer
2024,8,190.38,147.22,49.17,25.27,4.51,109.71,11.37,34.41,1.67,161.75,1025.05,11.56,5.33,193.0,Summer
2024,9,131.43,142.65,62.27,32.03,3.45,94.32,9.55,62.9,6.66,121.06,1014.15,21.56,10.55,250.6,Autumn
2024,10,53.05,77.93,52.29,27.44,2.6,105.54,23.49,45.74,7.33,224.08,1017.8,26.37,7.21,257.0,Autumn
2024,11,146.23,130.27,56.71,37.9,3.58,111.99,8.57,62.23,3.67,208.02,1029.55,22.44,9.03,212.33,Autumn
2024,12,126.37,130.96,52.93,29.43,1.58,88.97,8.03,49.63,5.15,169.52,1014.72,29.98,11.09,242.86,Winter
