PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season,City,Latitude,Longitude,Day of Week,Hour,Month,Year,Weather Condition,Station ID
60.5787162,232.9783993,78.64999119,25.21047744,4.982151372,123.2883529,-6.944591912,55.40620425,3.202632355,306.8666789,1046.755989,16.67906934,14.24295616,69,Winter,Shanghai,24.10527591,92.27034513,Monday,9,1,2018,Clear,94
187.2347897,298.498166,39.89221339,29.62307566,2.166731617,89.38666205,-5.427461024,11.7343297,4.07709703,2.973958684,1030.651821,22.45740266,1.342165547,139,Autumn,Chengdu,25.37284879,112.8218675,Friday,4,8,2021,Snow,39
140.7253026,169.787355,72.5493076,8.207333673,1.058609142,77.06325857,31.81548666,37.45096194,1.907696302,254.6319764,991.5223779,29.07469945,2.90407651,210,Winter,Beijing,38.45641335,104.0702423,Thursday,21,8,2024,Clear,36
160.4409812,179.5031574,59.78441384,45.46490856,1.508913382,91.75788393,4.251013565,64.3445811,4.520504941,75.24606772,990.9764945,24.47419726,7.153313446,56,Spring,Chengdu,48.2730931,109.4426044,Friday,15,2,2022,Fog,17
164.4276348,284.2457042,68.68776215,9.287420262,0.778130182,171.1636585,32.71112976,78.67928299,5.083520277,108.8666923,1039.729887,17.38762784,11.14417102,13,Summer,Shanghai,28.09501301,106.9724628,Thursday,20,8,2022,Snow,96
219.353994,222.3234639,92.46544424,44.96447264,2.989306074,194.4149626,21.18747376,53.86173005,8.338029543,318.5328922,1047.482061,16.99239681,10.81893143,323,Summer,Chengdu,43.59028411,98.31149456,Thursday,20,5,2015,Fog,12
10.69616059,39.40547563,24.18705625,40.99484303,1.918514883,16.57817282,5.977946882,12.40341286,9.843044364,177.6695705,1047.217204,35.00283053,2.783689171,274,Summer,Guangzhou,24.33208859,123.1714266,Saturday,6,5,2021,Haze,94
97.3786218,38.91458622,88.55655858,42.78025702,3.363547844,155.8876331,31.84830636,60.10373395,5.878646613,345.5158747,983.2365751,9.418913068,12.92385152,17,Autumn,Beijing,21.01282783,117.7857963,Wednesday,7,6,2024,Fog,3
116.8345648,258.7203559,56.3717548,45.17318364,1.013775277,92.63579641,-8.273460563,53.19194691,2.836324857,238.7587955,1048.010064,36.01671632,5.557171601,206,Summer,Chengdu,34.72759393,98.74746841,Thursday,1,10,2023,Fog,91
227.2407265,89.41443113,71.52294359,11.40298453,0.704691701,22.00575025,22.59536974,66.0978952,8.928631538,14.77888405,1048.101258,8.55442686,16.99444937,214,Winter,Chengdu,28.69648483,120.1765599,Sunday,17,12,2018,Rain,28
205.8619783,262.8218725,36.29512276,46.10444879,3.853710283,92.74496121,24.07184425,96.63851153,6.756916342,323.3438055,1047.311144,7.73153646,5.640487077,117,Summer,Chengdu,38.11024492,129.9892844,Thursday,19,7,2017,Cloudy,32
190.4099539,195.6149739,74.29176283,35.70204189,1.255819331,42.83468041,8.961074146,55.99142819,0.099607592,247.1229435,980.1399199,3.607058081,9.619741413,282,Summer,Shenzhen,45.0627439,95.43307925,Monday,22,12,2022,Fog,92
53.67378901,193.2236016,25.7948799,10.66278953,3.102740182,137.3629045,-3.034680433,75.68116618,5.673332814,128.9096155,1009.244814,46.77222975,5.943752327,420,Winter,Shanghai,30.54737774,103.1254092,Monday,3,3,2018,Snow,73
127.9464089,262.9649431,43.14715435,27.16748286,2.685059216,155.2236982,7.183105602,96.50109203,0.272136655,61.24459622,982.323025,16.9739252,6.191649159,457,Spring,Shanghai,25.90964019,111.7885103,Tuesday,14,4,2018,Fog,43
140.0161273,78.50875708,71.80258508,7.170958877,3.263328653,86.41213455,8.551804941,16.63340814,7.089158223,179.9922967,1008.56252,8.629066984,18.37260966,40,Winter,Chengdu,35.14914282,119.8907392,Thursday,6,3,2021,Cloudy,32
116.3509298,124.0802326,74.75181125,45.43318879,2.210411477,121.6380689,2.707149692,72.97629335,6.600074658,256.7209314,1008.248528,8.188004015,16.84661233,50,Summer,Chengdu,48.58759205,126.163286,Saturday,16,6,2020,Clear,13
180.3964941,43.96900486,31.48140608,44.34564576,3.404502082,130.5658557,38.55200415,15.68897116,7.341191662,54.47505518,1017.18908,39.40410644,5.398712841,13,Spring,Shanghai,30.89127141,115.5261224,Sunday,5,2,2017,Rain,27
23.32948965,212.4880536,42.78779899,31.64402547,0.377281841,115.1191486,-4.909954756,92.31264741,1.816587044,12.16837288,1025.047956,9.824732049,9.368261532,345,Summer,Guangzhou,23.33949485,122.8809836,Thursday,11,5,2017,Snow,72
142.3522787,229.5896159,62.31195383,4.774198514,1.123757368,154.5216004,3.86064723,63.15968625,5.596877458,39.19063787,1029.001918,13.58722474,0.422754724,209,Autumn,Beijing,20.87263252,98.79355298,Monday,14,12,2021,Cloudy,49
190.0756698,215.3578396,26.44845921,32.50024456,3.122485031,80.76178668,3.713894518,63.50594521,1.540932969,336.5200721,984.2295617,28.43792173,11.03846354,359,Summer,Shanghai,24.04561237,91.58944713,Saturday,8,6,2016,Snow,36
53.00027629,213.6771974,45.93792734,16.43106934,4.542710476,61.70443084,2.470940204,90.86045954,8.457649984,52.7437429,1019.110183,32.53434125,7.949063289,141,Winter,Chengdu,42.73108093,101.3933368,Wednesday,20,3,2016,Clear,77
28.32726581,163.794835,95.77608807,10.09980883,0.633902966,177.034926,37.51326956,98.88429287,3.687873485,264.6356643,1008.64451,38.22959301,8.629102133,234,Spring,Shanghai,43.68865607,122.9518277,Monday,16,3,2017,Rain,94
35.34586128,60.82862929,54.45205517,25.79757423,0.862380011,121.4626193,13.71220798,46.08710949,4.470140753,240.0350944,1049.042999,13.45612279,13.26296417,53,Autumn,Shanghai,31.02454703,112.2101154,Tuesday,4,12,2018,Cloudy,31
78.5615123,179.4356844,10.84577083,33.26115544,3.616074768,71.46849843,35.14974516,88.25651645,0.22388111,88.30975024,1044.464818,33.1286829,15.53514392,422,Summer,Shanghai,38.36283763,105.5122719,Saturday,18,6,2023,Snow,38
225.4191605,50.20991957,87.21107257,45.19072781,3.091482201,116.2046977,35.07324243,10.71782518,1.461161773,347.4197835,1036.123973,24.87285695,19.4324836,476,Summer,Shanghai,39.98723436,96.9288477,Thursday,5,10,2024,Cloudy,87
58.48951263,225.8404431,81.23060772,2.585617361,1.055418329,150.7105654,26.48341044,43.05273718,9.165584915,193.8291637,1045.382606,33.07103469,4.598549562,421,Spring,Guangzhou,34.44520549,115.9772516,Tuesday,0,9,2017,Snow,21
203.0638956,209.6814112,89.43091194,24.50700689,2.061852549,130.7216387,22.11398027,24.10607648,9.49115442,271.4914936,1035.373691,45.84795854,3.604648721,284,Winter,Guangzhou,49.33192263,107.2439836,Friday,19,9,2022,Snow,38
144.6798107,89.84187562,82.96636513,35.59827928,4.83039297,174.2449991,-3.306054757,93.4379977,0.802011519,352.8989681,1013.165985,19.27956409,2.211279836,424,Spring,Shenzhen,41.05370295,114.951589,Thursday,20,6,2015,Haze,35
97.23311302,223.6005755,76.31594891,15.33507428,1.022821625,20.31986009,5.203575295,89.72508374,9.529934,201.9710681,1036.693387,49.15943622,13.69697876,187,Winter,Chengdu,23.86248276,122.3114092,Friday,17,9,2015,Haze,85
147.7075186,198.6928307,26.21685737,6.535475992,4.568044852,74.15340695,7.25166306,28.45451421,5.902722365,179.7704672,1026.686356,23.10977348,15.45992795,391,Autumn,Guangzhou,35.23427358,97.59376663,Monday,18,4,2020,Haze,81
51.30128915,209.5316806,79.18637981,42.30963071,4.520858495,193.6244955,21.40795019,10.84274391,4.326643253,286.9764709,983.1560826,29.26694111,16.57147758,333,Autumn,Shanghai,44.12824598,127.6105783,Tuesday,18,3,2024,Rain,90
76.96046573,68.70463277,96.22605272,39.10140685,3.967991235,170.4394182,30.1337002,57.04869922,2.234132176,277.9785145,1041.779673,28.05082007,12.14051342,455,Summer,Beijing,22.05364253,119.5916716,Wednesday,10,4,2017,Rain,91
167.2644795,263.1966241,19.98097153,38.81862516,1.861582744,165.8962191,33.22900128,85.55454519,9.46225209,130.2409058,1038.518315,37.50186677,14.02397957,32,Spring,Chengdu,31.43029451,124.8699403,Friday,6,2,2024,Snow,17
243.1505615,241.2040786,77.68187728,42.38571961,2.115710483,60.15885316,28.96550479,46.95224361,0.769835208,282.7230712,985.6810702,25.40730043,15.96899877,300,Autumn,Shenzhen,49.99769404,93.25673395,Friday,0,4,2015,Rain,51
246.3554195,279.2981614,14.42698948,16.57924166,1.314450001,65.81589599,35.30643298,46.96514297,5.355737877,2.949489243,1008.923374,24.60877672,7.566147721,180,Autumn,Beijing,34.13763531,97.67730401,Friday,16,9,2024,Fog,10
28.90434625,100.6101605,94.20176287,33.82636709,1.279337979,114.1267168,-9.277992946,96.52997333,6.288642816,85.6354575,1031.354098,27.53506275,10.42184069,197,Winter,Shanghai,41.7373927,94.09487911,Wednesday,20,11,2022,Rain,8
116.9275075,41.26585144,63.44115757,36.13594336,1.993411696,92.22859882,4.962476182,39.7528222,4.248912042,171.4998236,1000.314148,33.16584275,9.638005363,183,Summer,Chengdu,49.12198197,108.8245534,Thursday,22,10,2018,Fog,5
104.9731513,70.2278403,13.22051208,32.1950723,1.877189886,67.7946669,28.3315725,90.79994942,4.483194458,151.0833248,1009.736647,3.70156664,17.06467352,343,Spring,Guangzhou,41.51448496,99.43799465,Friday,22,5,2016,Snow,94
63.74668727,244.7481301,46.57413947,36.12415824,1.320731552,13.32412247,25.67846331,74.93284171,0.080271942,236.8050669,982.5623716,3.878986591,19.66035891,113,Autumn,Shanghai,44.41831408,114.8026736,Tuesday,19,3,2015,Cloudy,85
199.1668107,247.8065906,47.99964399,27.2093134,4.731703715,102.9024772,33.67819468,89.35962416,0.989681892,7.381009384,1048.014552,40.69490519,9.431804139,377,Winter,Beijing,22.29640086,107.5361989,Saturday,3,10,2020,Fog,42
124.7345298,247.3690726,60.47249764,40.3153269,0.877658169,80.42744265,3.534568081,46.09289082,5.940554283,281.4601308,1049.0705,2.334203423,0.657892624,7,Summer,Guangzhou,23.0050671,126.8320032,Thursday,10,5,2022,Clear,32
248.4704915,273.8968823,74.87007788,41.32952072,2.314201777,113.9631275,27.45247751,58.85058121,1.078116117,183.3823298,990.9175296,25.71495874,1.843136007,243,Autumn,Guangzhou,37.95869346,112.0956417,Friday,7,11,2018,Fog,56
207.1920484,121.5319978,80.80126348,19.50690027,3.824551334,109.7124603,0.749868049,83.8337013,0.552583793,261.4809807,1000.7695,38.68008671,2.010018626,453,Winter,Beijing,21.12170439,99.99467561,Thursday,4,3,2019,Clear,70
84.66237142,110.5589488,51.9600862,41.62858793,0.877465511,110.6920054,25.28095764,45.88785744,8.920942153,149.4520837,982.6206855,2.189895321,3.417005899,83,Summer,Chengdu,48.74559132,121.9843163,Wednesday,14,6,2024,Clear,1
187.3332349,67.2594209,73.45157446,24.06576113,1.970630236,95.44373579,7.703032386,33.05891547,7.15943713,75.62003959,1036.422757,25.13599681,3.426230795,442,Autumn,Guangzhou,28.65650927,125.2881727,Sunday,22,7,2016,Haze,22
90.71031029,45.12487902,19.97830761,34.47954507,3.717592844,183.0641171,-6.296128856,36.99078202,1.394255487,184.9422881,995.3221773,7.522545455,6.881468158,163,Summer,Guangzhou,21.12862589,95.16873352,Wednesday,23,12,2016,Clear,87
34.17860174,278.4395916,35.03900232,2.256917036,3.549119613,118.8168426,-9.308240437,14.31849388,7.073750491,314.83637,982.4114844,22.47097223,13.03321145,237,Summer,Chengdu,22.71343929,94.14518078,Tuesday,2,6,2019,Snow,33
107.8859161,54.92304459,35.75828302,9.061875663,2.028611989,147.1595931,35.34896202,25.24158638,4.950095976,11.12904458,1029.516521,23.18035956,9.131466165,207,Spring,Guangzhou,43.2595414,106.6693189,Saturday,11,8,2017,Snow,90
11.21321429,115.247567,20.59734069,39.44440594,4.620693478,136.1035237,-9.503501517,42.87660478,6.881694395,326.9387215,988.0615592,41.57549456,14.18687904,71,Autumn,Shanghai,29.32381203,103.8953249,Thursday,20,1,2017,Rain,99
53.43745932,246.909865,41.35894501,11.8475885,1.935774882,30.89788928,33.60069044,62.84891978,3.455641005,15.1631179,1003.648608,26.45097639,0.579932788,29,Winter,Beijing,20.10901427,96.75216638,Wednesday,10,4,2015,Snow,68
19.32376332,81.2808306,38.16422093,34.06125397,1.386387763,60.37530876,7.646545728,52.04513068,3.119167236,31.89879013,986.1488692,35.61152303,17.14937387,120,Summer,Chengdu,40.11433335,102.1828595,Friday,6,12,2024,Fog,73
78.72780786,143.324698,28.68640509,3.672489257,2.276733172,136.7212394,5.545571781,46.97828568,7.582470157,172.121429,1035.069319,17.20927016,7.384641994,416,Winter,Beijing,29.68367013,101.3264177,Wednesday,17,5,2019,Fog,17
122.4362166,251.597783,12.11518903,14.54707288,3.976570223,153.8484078,11.14260769,32.54143305,8.860041693,197.221938,1017.298769,6.457470773,18.88633547,458,Spring,Guangzhou,44.89124747,110.1030321,Wednesday,4,3,2017,Haze,23
235.0168723,228.8748728,20.52104992,36.07798149,3.991492721,14.69174761,39.92445332,21.35156544,9.311944808,78.31843365,1023.812278,42.64513847,13.76005927,173,Summer,Shanghai,35.15420453,115.009118,Monday,22,3,2024,Cloudy,94
53.95060788,252.8127288,51.14303798,1.850304087,0.960461727,120.3852946,25.06848266,49.14785254,6.827489693,181.1405528,1044.752148,42.13294563,1.815730275,401,Summer,Chengdu,20.61666285,123.1827254,Saturday,8,3,2021,Haze,49
141.7350403,153.4167789,34.37935055,30.35085918,3.069433555,13.10226998,4.102802657,14.78501004,3.211869342,322.7238492,1007.517292,42.99005228,4.117360805,445,Summer,Shenzhen,29.72429116,128.0788681,Wednesday,11,9,2023,Cloudy,88
101.6734477,187.828734,25.99524999,17.47442787,1.636114065,76.99937336,37.98943241,52.12483173,1.112843404,183.753611,985.1567082,16.75158141,13.18896136,57,Autumn,Shenzhen,37.40108865,104.0902011,Thursday,7,12,2019,Rain,29
88.92628156,119.1034983,95.09852684,21.95370964,3.220564704,132.0900799,8.648841148,98.42561074,4.346936003,121.0830987,1049.412361,16.7867755,1.292485174,367,Spring,Shanghai,20.72509028,91.59402462,Sunday,5,2,2016,Haze,18
49.49204091,35.91623404,46.18116474,27.56185905,2.159902584,93.83840234,-4.71908928,97.66659202,0.610370078,151.5307059,1012.642275,5.767715496,14.9308067,250,Autumn,Shenzhen,37.70769509,94.18150412,Monday,17,9,2020,Cloudy,69
36.66340901,111.4267499,33.43712784,6.406630021,0.609112912,170.2769694,29.8340137,39.9894753,0.383329209,157.1880302,1004.208577,3.508161575,11.45023738,239,Autumn,Guangzhou,32.1950563,116.6582659,Friday,4,5,2020,Snow,55
81.51797246,271.3049963,44.10621431,42.45465736,0.155146932,29.89416023,0.445240677,34.35700904,5.891135382,16.45939992,997.8042107,5.901897889,1.976721216,24,Summer,Chengdu,33.32253482,99.36366141,Monday,13,11,2018,Cloudy,45
178.47723,114.5254635,48.63436349,8.791908612,1.92163279,163.9153723,5.175493672,33.35267423,2.957369842,359.7920241,1010.721254,23.71045291,9.583764039,489,Autumn,Guangzhou,48.59149192,118.5139724,Saturday,5,7,2020,Clear,80
46.89247258,291.654262,5.300260022,18.26704568,0.575795262,183.6592106,26.21593486,80.57658445,7.656799334,325.9974337,1031.566214,5.485294216,13.29724428,55,Winter,Guangzhou,22.86138948,122.0044052,Sunday,20,1,2022,Rain,50
49.28785707,189.2405544,54.00256357,12.55306315,4.585734581,45.51298097,26.21817044,23.06435713,1.082856999,73.69460153,991.8706055,24.13313593,8.427841098,440,Autumn,Beijing,43.98026304,92.91741458,Saturday,12,9,2017,Clear,26
170.3825052,235.9790213,38.12884284,22.28345717,2.819803841,184.3290578,7.937580124,84.52279864,4.570216841,52.65424143,983.1974948,5.41395397,15.25603641,484,Spring,Shanghai,27.60926268,120.2947125,Thursday,16,9,2015,Snow,12
34.39230847,158.0815707,54.89279866,25.35689478,4.640394708,73.04731956,6.96915097,81.48432976,3.098179371,358.9625137,1045.434773,34.26624755,15.17493231,423,Spring,Beijing,40.27391342,128.6145992,Wednesday,22,6,2021,Clear,46
71.37473127,106.3124207,38.17149307,48.69455028,4.383212888,190.6326909,23.21642496,66.21576714,6.804028594,217.8398618,1045.985365,11.71817583,13.7885195,246,Autumn,Beijing,35.30614427,119.4324616,Friday,2,4,2017,Fog,78
158.8360532,181.3302231,59.95576713,36.89106214,0.149441685,41.22098406,-8.163076475,69.41765863,7.664451293,18.83152627,1039.734241,29.90491803,10.88374748,247,Summer,Chengdu,38.09794045,124.5474044,Wednesday,5,4,2023,Fog,28
148.705551,207.4016649,19.79052451,29.24220066,1.598651841,159.4415403,12.79626382,54.06302103,3.543757532,254.8169355,1004.774609,23.43567307,16.4192096,34,Winter,Shanghai,46.82464093,105.7279591,Tuesday,15,1,2015,Clear,31
216.1681531,26.0135699,19.22171033,2.96951867,4.696281699,54.13526549,37.89905659,31.99792986,1.117908274,214.2252852,1007.982194,16.64516854,19.7348461,482,Autumn,Shenzhen,20.4154103,129.0845556,Thursday,8,1,2022,Clear,43
216.4657599,114.0217765,84.44411851,32.5578612,3.81224663,73.21124232,11.90433323,66.4128844,4.237071956,74.51418123,1016.379255,34.55776236,9.662024124,463,Winter,Chengdu,37.92729394,127.2684409,Friday,21,12,2017,Snow,27
98.01874954,140.0310404,14.38125543,3.654667164,3.375114547,120.936791,24.35517768,70.64106891,9.888617773,288.0174781,985.3646536,47.56051276,1.276098066,365,Spring,Chengdu,34.11447911,93.18106367,Friday,17,8,2023,Rain,84
146.787926,42.83087263,98.57393815,1.732279615,1.198405904,42.16449713,-4.413416651,67.1958886,5.729301169,166.1393575,1035.579634,33.8464624,9.000346233,67,Winter,Shanghai,32.92200613,106.888001,Monday,0,12,2024,Snow,39
17.60914129,208.9313305,54.57603517,17.23968983,1.627084179,23.57753722,28.61978901,37.28429117,9.754758172,69.92448792,996.2401325,44.85150373,12.66197266,320,Summer,Shenzhen,25.73583307,102.0831956,Saturday,2,5,2022,Rain,32
36.549443,101.3831137,55.55888602,15.58266981,4.538629779,13.81576534,32.0429827,40.84827604,4.074488994,73.84508645,1033.831848,48.95133147,9.913890008,447,Summer,Shanghai,26.72476886,120.4576583,Thursday,15,8,2015,Fog,67
119.9309467,284.6867795,84.32152843,7.832770971,3.760837335,60.84864049,17.50272422,64.53873993,3.928991826,227.8896236,1037.625827,34.91866249,7.696382473,204,Autumn,Guangzhou,37.78201859,120.3321077,Monday,13,9,2022,Cloudy,54
204.2189882,190.9279185,12.17294285,16.11910859,2.139736889,149.4724735,6.658466111,46.22157217,4.91862541,99.55169443,1037.591959,7.274542362,1.550205057,82,Spring,Chengdu,30.69926836,116.0522624,Monday,15,12,2019,Clear,19
183.6879726,278.2726922,98.86475499,41.08465353,2.323446556,66.77824693,29.32907639,38.36092218,1.735591777,51.67267773,1035.858846,42.96365391,11.18501643,382,Summer,Beijing,22.17839805,118.802772,Wednesday,1,1,2021,Fog,4
103.9695949,141.3569842,32.37148401,18.72712779,3.160489884,187.975015,-6.173193161,47.4032827,0.595727318,257.7797374,1044.753297,10.77613393,8.868483112,164,Winter,Beijing,24.85254572,119.5374931,Saturday,2,1,2015,Cloudy,39
218.4020043,198.3566051,73.9835817,38.12240633,1.438421669,124.5998421,35.10164853,77.73070126,5.714267083,138.2440696,1040.744121,11.39824509,10.53817796,218,Autumn,Chengdu,27.05507245,115.2531252,Monday,6,11,2022,Cloudy,72
103.0729565,144.0278558,48.03642347,4.854064469,3.325105894,71.82059516,8.114033859,29.32761535,6.228119484,344.9783399,1047.309695,11.06480683,9.103217747,174,Summer,Beijing,35.35950021,117.0158983,Thursday,7,3,2021,Snow,60
216.7564883,239.2946881,52.01652209,3.952300212,4.544474713,117.3054162,19.51488988,96.40453352,4.620493156,338.5043678,1008.946263,4.855305801,13.86517057,51,Autumn,Chengdu,43.48222444,112.927839,Tuesday,18,11,2019,Clear,93
88.4662772,58.50187831,52.95566444,44.56236572,4.137744402,142.6686455,32.03100999,18.43715506,8.979342392,216.8839613,1042.622322,45.75498051,2.737291106,250,Spring,Chengdu,43.70926122,94.74631665,Saturday,22,7,2021,Clear,8
96.84841435,272.2870358,72.86704932,42.19747345,0.761110649,179.6349179,7.430764565,12.78893489,1.109101283,234.7038589,996.9056023,23.84313826,6.344853875,228,Winter,Shenzhen,41.83878451,111.9338687,Saturday,5,9,2022,Cloudy,61
46.86524401,169.7291936,56.38195202,16.82116458,3.488669161,123.6201457,23.83302517,59.24499748,4.189894905,150.8319502,1007.773387,38.65363993,5.021658814,373,Summer,Guangzhou,46.47255365,123.960285,Thursday,0,5,2022,Fog,66
49.65723453,87.53589026,33.81514067,44.80754308,3.9825512,135.8831908,32.70576933,14.56872159,4.5929694,146.8604741,1006.527348,47.37105265,17.29156142,324,Spring,Shenzhen,42.3377988,119.0691489,Sunday,3,9,2020,Clear,75
237.6452909,144.7168654,39.97758322,16.53986898,2.873871455,130.9894329,33.58548639,52.15963064,6.269933269,358.7341385,1040.08374,20.1445551,4.386214902,18,Spring,Shenzhen,36.45506596,102.7526534,Monday,2,1,2020,Haze,99
130.7617908,229.5106868,70.81745251,18.55204091,2.147245796,78.45466907,23.00809569,37.00168637,3.399576702,354.3817611,982.432321,49.44426935,19.25951357,441,Winter,Shanghai,37.94205803,90.4122618,Saturday,8,10,2019,Clear,13
26.12124544,266.4396084,94.33369796,49.5545296,4.225266094,162.1384911,-1.392011445,27.34948445,6.446646915,281.4993108,986.8882878,13.76220987,8.191304157,276,Spring,Shenzhen,39.76017396,104.6178352,Monday,20,10,2016,Rain,24
184.8752032,132.608649,28.17020651,39.63603257,3.788870939,24.79444346,8.495254772,72.91368741,3.895440641,81.19987349,1009.451167,42.96632899,4.309714791,138,Summer,Shanghai,22.54278608,91.71431414,Friday,0,4,2018,Fog,50
157.3088664,296.921411,73.54236288,47.50453888,4.538059904,144.8010112,20.88950717,26.62332553,5.64720767,16.95499253,985.077315,4.247348569,8.829110666,40,Winter,Shenzhen,24.04087051,114.7132411,Monday,19,3,2018,Clear,43
61.32444338,110.5361835,71.35192518,17.930229,1.829720388,113.2430739,27.07792437,97.36554127,8.820635533,100.0696784,1013.001788,17.34148552,16.58739385,405,Summer,Shenzhen,26.39558703,95.18579346,Wednesday,14,12,2019,Haze,29
27.70987359,124.9342927,6.919187918,12.06896874,4.100730647,19.92320396,29.33039566,14.81730623,1.194595227,176.8790837,1015.746731,23.12274393,9.047712466,232,Autumn,Chengdu,29.13221446,99.40014818,Tuesday,14,5,2024,Clear,35
89.42467394,121.1694077,15.20349178,45.27774873,2.035658338,124.172449,1.03156441,26.38931119,4.250297152,316.9852713,1039.711357,46.75558546,0.6496236,477,Summer,Shanghai,23.74097253,122.6877641,Friday,8,8,2019,Cloudy,96
151.1730747,212.0760037,61.73724384,2.326966742,3.337839462,55.00863307,22.66651736,83.62988616,9.204725297,215.2418338,1038.666948,1.683072384,16.81061939,107,Spring,Shenzhen,27.87989899,109.921006,Monday,11,5,2016,Fog,96
147.5677112,140.1046505,33.29456141,13.02659038,3.236516008,39.29984299,32.07546317,75.42609977,5.565029639,42.96891466,1030.590486,37.51404263,13.27664819,147,Summer,Guangzhou,32.0477808,93.08894259,Thursday,3,3,2017,Cloudy,53
217.1581078,262.0424459,27.8474299,5.523701896,3.434628521,165.4875932,33.5720764,29.67330276,3.886028401,101.6624097,1044.417359,10.37754037,14.53023492,46,Summer,Beijing,36.94297373,127.8636988,Tuesday,1,11,2018,Cloudy,88
242.4212939,223.8841977,16.19179133,47.95602565,2.19682723,175.670533,25.96883239,12.87669633,5.930614362,43.40623668,1021.966907,4.819861096,12.58504978,181,Autumn,Chengdu,47.35900186,112.7642459,Tuesday,3,3,2019,Fog,64
142.260888,294.257069,90.77405547,36.28429186,0.519544817,129.2187948,-3.526609026,18.23108389,6.241479279,163.4824751,992.5808254,30.77589547,9.597541332,244,Winter,Beijing,20.38495804,101.0256551,Tuesday,16,11,2024,Haze,77
41.09084131,33.16586867,85.46664016,11.05645585,0.421704829,45.72313763,19.85688251,41.73993434,8.867557956,54.32047492,992.4791676,31.64834691,17.2535395,291,Summer,Guangzhou,46.56949626,108.4090674,Monday,2,3,2015,Cloudy,88
161.9405445,149.3326017,96.8415555,40.40999187,0.229168699,86.03820539,-2.876146732,24.69644406,6.476105529,51.62998053,1030.314998,49.65898663,1.339922792,388,Winter,Chengdu,22.42635617,99.90743501,Friday,7,5,2022,Snow,73
150.2296224,24.98411293,34.56173318,40.58248381,3.207355639,43.56470008,19.58801216,58.94708696,6.69751694,290.669794,1030.939343,47.05836199,3.322785252,209,Summer,Shanghai,27.90393728,115.71683,Thursday,11,8,2019,Rain,89
112.334865,268.4523311,75.12724982,15.46233849,0.847146,66.34799501,36.57023218,97.38011129,3.796904701,270.7903664,1045.833255,5.287796948,14.80110182,165,Spring,Chengdu,40.03925327,112.6885899,Sunday,18,8,2015,Clear,72
