Year,Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season
2021,6,148.13,132.54,49.53,32.44,2.87,82.57,22.19,57.95,5.14,177.4,1023.86,17.57,11.96,300.07,Summer
2021,7,87.76,207.03,48.54,25.16,2.81,118.09,7.48,55.3,4.99,199.58,1018.01,23.05,12.24,343.38,Summer
2021,8,71.33,164.82,24.63,40.38,4.65,75.55,5.91,72.63,8.76,314.62,1017.52,41.01,17.67,297.0,Summer
2021,9,108.08,189.63,30.27,25.99,2.46,79.49,16.81,58.93,5.57,263.26,1011.96,27.3,6.36,267.6,Autumn
2021,10,118.58,200.05,58.64,22.09,3.41,113.59,3.38,49.82,6.32,149.31,1020.77,26.8,9.43,258.88,Autumn
2021,11,102.51,200.41,40.73,26.77,2.78,103.21,20.65,51.55,3.79,171.26,1014.65,21.73,12.04,272.0,Autumn
2021,12,165.63,141.3,70.03,20.48,3.1,144.99,5.52,65.31,4.63,99.91,1001.75,23.3,4.41,237.33,Winter
2022,1,110.14,110.29,54.88,21.84,3.02,107.04,1.74,48.79,4.44,137.46,1003.79,19.71,10.11,253.71,Winter
2022,2,118.2,139.08,51.03,23.44,2.45,95.5,16.26,52.34,4.93,157.14,1011.71,26.63,12.27,193.0,Winter
2022,3,126.53,114.37,51.85,26.41,1.92,98.71,16.95,55.11,5.22,156.38,1018.93,19.04,9.3,265.62,Spring
2022,4,88.17,99.09,68.13,17.69,3.41,103.45,31.82,50.32,4.6,159.96,1011.32,14.21,9.31,248.2,Spring
2022,5,119.19,180.51,59.82,28.38,2.66,84.82,17.56,52.2,5.75,203.18,1013.17,20.97,10.73,239.29,Spring
2022,6,140.39,184.39,36.92,29.59,3.23,128.9,14.32,59.05,6.54,152.63,1006.99,25.26,9.33,316.4,Summer
2022,7,140.84,143.03,47.07,24.41,1.93,102.67,4.02,50.6,3.13,88.66,1002.94,16.09,12.97,206.71,Summer
2022,8,105.21,187.65,71.01,13.15,1.58,57.19,18.0,52.68,4.97,183.21,1014.17,26.91,11.01,388.17,Summer
2022,9,169.23,178.59,45.48,9.95,3.67,134.91,12.07,52.51,6.79,142.47,1033.92,38.94,12.26,245.5,Autumn
2022,10,159.6,159.58,26.58,30.27,2.81,132.57,16.34,33.13,5.35,102.38,1000.6,21.54,8.98,290.5,Autumn
2022,11,146.59,192.94,57.31,25.82,2.47,93.12,11.17,56.95,6.07,186.54,1007.87,24.1,12.83,248.62,Autumn
2022,12,61.9,218.49,30.29,33.9,1.31,92.59,19.38,66.66,5.93,286.36,1013.45,13.46,11.76,166.33,Winter
2023,1,81.15,100.49,53.35,27.14,3.03,171.66,20.99,69.39,6.3,128.15,1023.16,27.79,11.24,380.5,Winter
2023,2,141.71,127.42,59.03,34.49,2.88,148.96,17.98,45.94,4.82,179.3,1014.28,31.02,8.36,296.57,Winter
2023,3,122.67,145.24,53.95,29.31,3.69,133.91,21.57,37.74,5.25,174.42,1016.28,26.5,6.31,279.89,Spring
2023,4,81.51,203.11,55.74,32.55,1.82,133.05,11.3,51.97,6.6,162.84,1018.76,26.31,13.99,129.75,Spring
2023,5,137.17,134.78,40.38,28.85,3.46,115.41,15.21,48.83,4.17,184.55,1019.49,31.72,9.18,252.38,Spring
2023,6,80.04,163.64,66.99,26.18,1.99,126.35,17.51,45.43,4.55,135.51,1024.81,25.0,13.4,194.83,Summer
2023,7,153.7,159.75,29.43,22.5,3.41,86.37,10.31,59.21,5.53,233.46,1014.3,29.34,6.09,275.67,Summer
2023,8,119.83,87.44,39.54,20.75,1.94,99.95,20.79,40.62,4.54,132.32,1018.79,22.91,8.24,224.33,Summer
2023,9,149.42,197.84,45.41,17.04,1.74,58.1,17.69,40.6,7.32,161.59,1017.91,31.57,8.72,295.75,Autumn
2023,10,146.44,140.4,67.61,17.22,2.26,102.68,16.5,69.04,7.09,177.94,1012.32,32.37,7.88,286.6,Autumn
2023,11,100.52,156.25,40.43,34.47,3.32,167.81,21.08,57.05,5.14,267.37,1036.61,28.48,14.21,249.75,Autumn
2023,12,223.05,199.13,17.01,25.16,2.25,150.9,14.07,31.21,5.7,235.02,994.6,5.4,9.7,406.5,Winter
2024,1,148.45,110.48,87.23,13.93,3.56,82.14,21.36,55.53,4.71,125.26,1002.65,29.27,1.88,296.5,Winter
2024,2,63.86,149.11,59.39,30.71,2.2,82.7,15.68,49.23,5.11,200.94,1017.81,30.25,10.01,181.33,Winter
2024,3,94.52,101.32,51.68,22.44,2.41,93.71,12.43,46.06,6.5,183.44,1033.93,28.98,9.19,336.0,Spring
2024,4,130.01,155.98,67.45,24.93,2.81,146.48,6.89,36.26,4.63,222.19,1007.78,22.64,10.15,268.25,Spring
2024,5,107.09,147.85,44.38,19.87,2.21,59.68,1.11,49.56,7.12,173.38,1010.72,36.98,11.33,125.75,Spring
2024,6,101.51,104.66,38.3,35.33,3.28,149.12,29.49,48.32,5.07,243.16,1014.97,20.04,12.07,176.6,Summer
2024,7,156.96,165.56,46.29,28.08,2.44,86.15,22.8,66.54,4.65,217.41,1031.48,31.83,9.11,193.0,Summer
2024,8,170.12,162.44,57.42,25.92,2.33,93.17,18.64,46.76,6.33,194.84,1002.19,35.19,10.53,332.67,Summer
2024,9,106.97,191.92,59.36,25.15,1.64,99.95,16.39,57.08,3.77,130.46,1006.65,30.24,13.53,194.29,Autumn
2024,10,151.28,153.13,46.22,27.77,3.09,143.23,16.32,45.89,4.56,181.18,1028.92,35.45,13.21,204.2,Autumn
2024,11,125.14,265.76,64.35,28.58,2.16,132.8,11.13,16.58,7.14,98.58,988.01,22.73,7.14,212.5,Autumn
2024,12,130.53,197.24,41.81,16.98,0.68,158.12,6.79,51.21,7.38,244.56,999.81,17.42,1.47,279.0,Winter
